site_number,camera_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
200,9,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,,,,,,,,,,,
201,20,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,,,,,,,,,,,,
202,65,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,,,,,,,,,,,,,
203,10,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,8.529502,8.529502,8.0467,12.713786,8.85137,8.690436,9.65604,,,,,,,,,,,
204,49,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,,,,,,,,,,
205,26,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,,,,,,,,,,,,
206,54,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,,,,,,,,,,
207,7,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,,,,,,,,,,,,,,,,,,,,
208,53,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,,,,,,,,,,
209,26,12.391918,15.932466,17.863674,9.977908,15.771532,13.518456,15.127796,16.415268,8.529502,10.782578,12.552852,9.012304,8.0467,11.426314,14.001258,10.943512,13.518456,6.43736,7.724832,10.943512,10.138842,12.07005,9.334172,9.012304,7.24203,9.173238,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,,,,,,,
210,44,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,,,,,,,,,,,,
211,5,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,,,,,,,,,,
212,43,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,,,,,,,,,,,,,,,,,,
213,53,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,,,,,,,,,,,,,,,,,,,,
214,69,9.173238,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,,,,,,,,,,,,,,,,,,,,,,
215,25,8.0467,11.426314,14.001258,10.943512,13.518456,6.43736,7.724832,10.943512,10.138842,12.07005,9.334172,9.012304,7.24203,9.173238,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,,,,,,,,,
216,42,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,,,,,,,,,,,,,,,,,,,,,
217,25,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,,,,,,,,,,,,,,,,,
218,13,10.782578,10.138842,12.391918,15.932466,17.863674,9.977908,15.771532,13.518456,15.127796,16.415268,8.529502,10.782578,12.552852,9.012304,8.0467,11.426314,14.001258,10.943512,13.518456,6.43736,7.724832,10.943512,10.138842,12.07005,9.334172,9.012304,7.24203,9.173238,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,,,,,,,,,
219,3,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,,,,,,,,,,,,,
222,66,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,,,,,,,,,,,
223,22,17.863674,9.977908,15.771532,13.518456,15.127796,16.415268,8.529502,10.782578,12.552852,9.012304,8.0467,11.426314,14.001258,10.943512,13.518456,6.43736,7.724832,10.943512,10.138842,12.07005,9.334172,9.012304,7.24203,9.173238,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,,,,,,,,,,,,,,,
228,24,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,8.529502,8.529502,8.0467,12.713786,8.85137,8.690436,,,,,,,,,,,,,,,,,,
231,68,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,,,,,,,,,,,,,,,,,,,,,
233,16,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,8.529502,8.529502,8.0467,12.713786,8.85137,8.690436,,,,,,,,,,,,,,,,,,
234,54,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,,,,,,,,,,,,,,,,,,
235,38,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,8.529502,8.529502,8.0467,12.713786,8.85137,8.690436,,,,,,,,,,,,,,,,,,
238,51,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,,,,,,,,,,,,,,,,,
241,29,15.932466,17.863674,9.977908,15.771532,13.518456,15.127796,16.415268,8.529502,10.782578,12.552852,9.012304,8.0467,11.426314,14.001258,10.943512,13.518456,6.43736,7.724832,10.943512,10.138842,12.07005,9.334172,9.012304,7.24203,9.173238,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,,,,,,,,,,,,,,
244,30,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954
248,46,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,8.529502,8.529502,8.0467,12.713786,8.85137,8.690436,,,,,,,,,,,
249,18,17.863674,9.977908,15.771532,13.518456,15.127796,16.415268,8.529502,10.782578,12.552852,9.012304,8.0467,11.426314,14.001258,10.943512,13.518456,6.43736,7.724832,10.943512,10.138842,12.07005,9.334172,9.012304,7.24203,9.173238,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,,,,,,,,,,,,,,,
250,35,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,,,,,,,,,,,,,,,,,,,
251,23,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,,,,,,,,,,,,,,,,,,,
254,25,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,8.529502,8.529502,8.0467,12.713786,8.85137,8.690436,,,,,,,,,,,,,,,,,,,
256,52,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,,,,,,,,,,
266,64,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,,,,,,,,,,,,
